no,wage_from,wage_to,employer,employee,total
1,0.01,30,0.05,0.05,0.10
2,30.01,50,0.10,0.10,0.20
3,50.01,70,0.15,0.15,0.30
4,70.01,100,0.20,0.20,0.40
5,100.01,140,0.25,0.25,0.50
6,140.01,200,0.35,0.35,0.70
7,200.01,300,0.50,0.50,1.00
8,300.01,400,0.70,0.70,1.40
9,400.01,500,0.90,0.90,1.80
10,500.01,600,1.10,1.10,2.20
11,600.01,700,1.30,1.30,2.60
12,700.01,800,1.50,1.50,3.00
13,800.01,900,1.70,1.70,3.40
14,900.01,1000,1.90,1.90,3.80
15,1000.01,1100,2.10,2.10,4.20
16,1100.01,1200,2.30,2.30,4.60
17,1200.01,1300,2.50,2.50,5.00
18,1300.01,1400,2.70,2.70,5.40
19,1400.01,1500,2.90,2.90,5.80
20,1500.01,1600,3.10,3.10,6.20
21,1600.01,1700,3.30,3.30,6.60
22,1700.01,1800,3.50,3.50,7.00
23,1800.01,1900,3.70,3.70,7.40
24,1900.01,2000,3.90,3.90,7.80
25,2000.01,2100,4.10,4.10,8.20
26,2100.01,2200,4.30,4.30,8.60
27,2200.01,2300,4.50,4.50,9.00
28,2300.01,2400,4.70,4.70,9.40
29,2400.01,2500,4.90,4.90,9.80
30,2500.01,2600,5.10,5.10,10.20
31,2600.01,2700,5.30,5.30,10.60
32,2700.01,2800,5.50,5.50,11.00
33,2800.01,2900,5.70,5.70,11.40
34,2900.01,3000,5.90,5.90,11.80
35,3000.01,3100,6.10,6.10,12.20
36,3100.01,3200,6.30,6.30,12.60
37,3200.01,3300,6.50,6.50,13.00
38,3300.01,3400,6.70,6.70,13.40
39,3400.01,3500,6.90,6.90,13.80
40,3500.01,3600,7.10,7.10,14.20
41,3600.01,3700,7.30,7.30,14.60
42,3700.01,3800,7.50,7.50,15.00
43,3800.01,3900,7.70,7.70,15.40
44,3900.01,4000,7.90,7.90,15.80
45,4000.01,4100,8.10,8.10,16.20
46,4100.01,4200,8.30,8.30,16.60
47,4200.01,4300,8.50,8.50,17.00
48,4300.01,4400,8.70,8.70,17.40
49,4400.01,4500,8.90,8.90,17.80
50,4500.01,4600,9.10,9.10,18.20
51,4600.01,4700,9.30,9.30,18.60
52,4700.01,4800,9.50,9.50,19.00
53,4800.01,4900,9.70,9.70,19.40
54,4900.01,5000,9.90,9.90,19.80
55,5000.01,5100,10.10,10.10,20.20
56,5100.01,5200,10.30,10.30,20.60
57,5200.01,5300,10.50,10.50,21.00
58,5300.01,5400,10.70,10.70,21.40
59,5400.01,5500,10.90,10.90,21.80
60,5500.01,5600,11.10,11.10,22.20
61,5600.01,5700,11.30,11.30,22.60
62,5700.01,5800,11.50,11.50,23.00
63,5800.01,5900,11.70,11.70,23.40
64,5900.01,6000,11.90,11.90,23.80
65,6000.01,,11.90,11.90,23.80
