part,wage_from,wage_to,employer,employee,total
A,0.01,10.00,0.00,0.00,0.00
A,10.01,20.00,3.00,3.00,6.00
A,20.01,40.00,6.00,5.00,11.00
A,40.01,60.00,8.00,7.00,15.00
A,60.01,80.00,11.00,9.00,20.00
A,80.01,100.00,13.00,11.00,24.00
A,100.01,120.00,16.00,14.00,30.00
A,120.01,140.00,19.00,16.00,35.00
A,140.01,160.00,21.00,18.00,39.00
A,160.01,180.00,24.00,20.00,44.00
A,180.01,200.00,26.00,22.00,48.00
A,200.01,220.00,29.00,25.00,54.00
A,220.01,240.00,32.00,27.00,59.00
A,240.01,260.00,34.00,29.00,63.00
A,260.01,280.00,37.00,31.00,68.00
A,280.01,300.00,39.00,33.00,72.00
A,300.01,320.00,42.00,36.00,78.00
A,320.01,340.00,45.00,38.00,83.00
A,340.01,360.00,47.00,40.00,87.00
A,360.01,380.00,50.00,42.00,92.00
A,380.01,400.00,52.00,44.00,96.00
A,400.01,420.00,55.00,47.00,102.00
A,420.01,440.00,58.00,49.00,107.00
A,440.01,460.00,60.00,51.00,111.00
A,460.01,480.00,63.00,53.00,116.00
A,480.01,500.00,65.00,55.00,120.00
A,500.01,520.00,68.00,58.00,126.00
A,520.01,540.00,71.00,60.00,131.00
A,540.01,560.00,73.00,62.00,135.00
A,560.01,580.00,76.00,64.00,140.00
A,580.01,600.00,78.00,66.00,144.00
A,600.01,620.00,81.00,69.00,150.00
A,620.01,640.00,84.00,71.00,155.00
A,640.01,660.00,86.00,73.00,159.00
A,660.01,680.00,89.00,75.00,164.00
A,680.01,700.00,91.00,77.00,168.00
A,700.01,720.00,94.00,80.00,174.00
A,720.01,740.00,97.00,82.00,179.00
A,740.01,760.00,99.00,84.00,183.00
A,760.01,780.00,102.00,86.00,188.00
A,780.01,800.00,104.00,88.00,192.00
A,800.01,820.00,107.00,91.00,198.00
A,820.01,840.00,110.00,93.00,203.00
A,840.01,860.00,112.00,95.00,207.00
A,860.01,880.00,115.00,97.00,212.00
A,880.01,900.00,117.00,99.00,216.00
A,900.01,920.00,120.00,102.00,222.00
A,920.01,940.00,123.00,104.00,227.00
A,940.01,960.00,125.00,106.00,231.00
A,960.01,980.00,128.00,108.00,236.00
A,980.01,1000.00,130.00,110.00,240.00
A,1000.01,1020.00,133.00,113.00,246.00
A,1020.01,1040.00,136.00,115.00,251.00
A,1040.01,1060.00,138.00,117.00,255.00
A,1060.01,1080.00,141.00,119.00,260.00
A,1080.01,1100.00,143.00,121.00,264.00
A,1100.01,1120.00,146.00,124.00,270.00
A,1120.01,1140.00,149.00,126.00,275.00
A,1140.01,1160.00,151.00,128.00,279.00
A,1160.01,1180.00,154.00,130.00,284.00
A,1180.01,1200.00,156.00,132.00,288.00
A,1200.01,1220.00,159.00,135.00,294.00
A,1220.01,1240.00,162.00,137.00,299.00
A,1240.01,1260.00,164.00,139.00,303.00
A,1260.01,1280.00,167.00,141.00,308.00
A,1280.01,1300.00,169.00,143.00,312.00
A,1300.01,1320.00,172.00,146.00,318.00
A,1320.01,1340.00,175.00,148.00,323.00
A,1340.01,1360.00,177.00,150.00,327.00
A,1360.01,1380.00,180.00,152.00,332.00
A,1380.01,1400.00,182.00,154.00,336.00
A,1400.01,1420.00,185.00,157.00,342.00
A,1420.01,1440.00,188.00,159.00,347.00
A,1440.01,1460.00,190.00,161.00,351.00
A,1460.01,1480.00,193.00,163.00,356.00
A,1480.01,1500.00,195.00,165.00,360.00
A,1500.01,1520.00,198.00,168.00,366.00
A,1520.01,1540.00,201.00,170.00,371.00
A,1540.01,1560.00,203.00,172.00,375.00
A,1560.01,1580.00,206.00,174.00,380.00
A,1580.01,1600.00,208.00,176.00,384.00
A,1600.01,1620.00,211.00,179.00,390.00
A,1620.01,1640.00,214.00,181.00,395.00
A,1640.01,1660.00,216.00,183.00,399.00
A,1660.01,1680.00,219.00,185.00,404.00
A,1680.01,1700.00,221.00,187.00,408.00
A,1700.01,1720.00,224.00,190.00,414.00
A,1720.01,1740.00,227.00,192.00,419.00
A,1740.01,1760.00,229.00,194.00,423.00
A,1760.01,1780.00,232.00,196.00,428.00
A,1780.01,1800.00,234.00,198.00,432.00
A,1800.01,1820.00,237.00,201.00,438.00
A,1820.01,1840.00,240.00,203.00,443.00
A,1840.01,1860.00,242.00,205.00,447.00
A,1860.01,1880.00,245.00,207.00,452.00
A,1880.01,1900.00,247.00,209.00,456.00
A,1900.01,1920.00,250.00,212.00,462.00
A,1920.01,1940.00,253.00,214.00,467.00
A,1940.01,1960.00,255.00,216.00,471.00
A,1960.01,1980.00,258.00,218.00,476.00
A,1980.01,2000.00,260.00,220.00,480.00
A,2000.01,2020.00,263.00,223.00,486.00
A,2020.01,2040.00,266.00,225.00,491.00
A,2040.01,2060.00,268.00,227.00,495.00
A,2060.01,2080.00,271.00,229.00,500.00
A,2080.01,2100.00,273.00,231.00,504.00
A,2100.01,2120.00,276.00,234.00,510.00
A,2120.01,2140.00,279.00,236.00,515.00
A,2140.01,2160.00,281.00,238.00,519.00
A,2160.01,2180.00,284.00,240.00,524.00
A,2180.01,2200.00,286.00,242.00,528.00
A,2200.01,2220.00,289.00,245.00,534.00
A,2220.01,2240.00,292.00,247.00,539.00
A,2240.01,2260.00,294.00,249.00,543.00
A,2260.01,2280.00,297.00,251.00,548.00
A,2280.01,2300.00,299.00,253.00,552.00
A,2300.01,2320.00,302.00,256.00,558.00
A,2320.01,2340.00,305.00,258.00,563.00
A,2340.01,2360.00,307.00,260.00,567.00
A,2360.01,2380.00,310.00,262.00,572.00
A,2380.01,2400.00,312.00,264.00,576.00
A,2400.01,2420.00,315.00,267.00,582.00
A,2420.01,2440.00,318.00,269.00,587.00
A,2440.01,2460.00,320.00,271.00,591.00
A,2460.01,2480.00,323.00,273.00,596.00
A,2480.01,2500.00,325.00,275.00,600.00
A,2500.01,2520.00,328.00,278.00,606.00
A,2520.01,2540.00,331.00,280.00,611.00
A,2540.01,2560.00,333.00,282.00,615.00
A,2560.01,2580.00,336.00,284.00,620.00
A,2580.01,2600.00,338.00,286.00,624.00
A,2600.01,2620.00,341.00,289.00,630.00
A,2620.01,2640.00,344.00,291.00,635.00
A,2640.01,2660.00,346.00,293.00,639.00
A,2660.01,2680.00,349.00,295.00,644.00
A,2680.01,2700.00,351.00,297.00,648.00
A,2700.01,2720.00,354.00,300.00,654.00
A,2720.01,2740.00,357.00,302.00,659.00
A,2740.01,2760.00,359.00,304.00,663.00
A,2760.01,2780.00,362.00,306.00,668.00
A,2780.01,2800.00,364.00,308.00,672.00
A,2800.01,2820.00,367.00,311.00,678.00
A,2820.01,2840.00,370.00,313.00,683.00
A,2840.01,2860.00,372.00,315.00,687.00
A,2860.01,2880.00,375.00,317.00,692.00
A,2880.01,2900.00,377.00,319.00,696.00
A,2900.01,2920.00,380.00,322.00,702.00
A,2920.01,2940.00,383.00,324.00,707.00
A,2940.01,2960.00,385.00,326.00,711.00
A,2960.01,2980.00,388.00,328.00,716.00
A,2980.01,3000.00,390.00,330.00,720.00
A,3000.01,3020.00,393.00,333.00,726.00
A,3020.01,3040.00,396.00,335.00,731.00
A,3040.01,3060.00,398.00,337.00,735.00
A,3060.01,3080.00,401.00,339.00,740.00
A,3080.01,3100.00,403.00,341.00,744.00
