no,wage_from,wage_to,cat1_employer,cat1_employee_invalidity,cat1_employee_skbbk,cat1_total,cat2_employer,cat2_employee_skbbk,cat2_total
1,0.01,30,0.40,0.10,0.20,0.70,0.30,0.20,0.50
2,30.01,50,0.70,0.20,0.30,1.20,0.50,0.30,0.80
3,50.01,70,1.10,0.30,0.50,1.90,0.80,0.50,1.30
4,70.01,100,1.50,0.40,0.65,2.55,1.10,0.65,1.75
5,100.01,140,2.10,0.60,0.90,3.60,1.50,0.90,2.40
6,140.01,200,2.95,0.85,1.25,5.05,2.10,1.25,3.35
7,200.01,300,4.35,1.25,1.85,7.45,3.10,1.85,4.95
8,300.01,400,6.15,1.75,2.65,10.55,4.40,2.65,7.05
9,400.01,500,7.85,2.25,3.35,13.45,5.60,3.35,8.95
10,500.01,600,9.65,2.75,4.15,16.55,6.90,4.15,11.05
11,600.01,700,11.35,3.25,4.85,19.45,8.10,4.85,12.95
12,700.01,800,13.15,3.75,5.65,22.55,9.40,5.65,15.05
13,800.01,900,14.85,4.25,6.35,25.45,10.60,6.35,16.95
14,900.01,1000,16.65,4.75,7.15,28.55,11.90,7.15,19.05
15,1000.01,1100,18.35,5.25,7.85,31.45,13.10,7.85,20.95
16,1100.01,1200,20.15,5.75,8.65,34.55,14.40,8.65,23.05
17,1200.01,1300,21.85,6.25,9.35,37.45,15.60,9.35,24.95
18,1300.01,1400,23.65,6.75,10.15,40.55,16.90,10.15,27.05
19,1400.01,1500,25.35,7.25,10.85,43.45,18.10,10.85,28.95
20,1500.01,1600,27.15,7.75,11.65,46.55,19.40,11.65,31.05
21,1600.01,1700,28.85,8.25,12.35,49.45,20.60,12.35,32.95
22,1700.01,1800,30.65,8.75,13.15,52.55,21.90,13.15,35.05
23,1800.01,1900,32.35,9.25,13.85,55.45,23.10,13.85,36.95
24,1900.01,2000,34.15,9.75,14.65,58.55,24.40,14.65,39.05
25,2000.01,2100,35.85,10.25,15.35,61.45,25.60,15.35,40.95
26,2100.01,2200,37.65,10.75,16.15,64.55,26.90,16.15,43.05
27,2200.01,2300,39.35,11.25,16.85,67.45,28.10,16.85,44.95
28,2300.01,2400,41.15,11.75,17.65,70.55,29.40,17.65,47.05
29,2400.01,2500,42.85,12.25,18.35,73.45,30.60,18.35,48.95
30,2500.01,2600,44.65,12.75,19.15,76.55,31.90,19.15,51.05
31,2600.01,2700,46.35,13.25,19.85,79.45,33.10,19.85,52.95
32,2700.01,2800,48.15,13.75,20.65,82.55,34.40,20.65,55.05
33,2800.01,2900,49.85,14.25,21.35,85.45,35.60,21.35,56.95
34,2900.01,3000,51.65,14.75,22.15,88.55,36.90,22.15,59.05
35,3000.01,3100,53.35,15.25,22.85,91.45,38.10,22.85,60.95
36,3100.01,3200,55.15,15.75,23.65,94.55,39.40,23.65,63.05
37,3200.01,3300,56.85,16.25,24.35,97.45,40.60,24.35,64.95
38,3300.01,3400,58.65,16.75,25.15,100.55,41.90,25.15,67.05
39,3400.01,3500,60.35,17.25,25.85,103.45,43.10,25.85,68.95
40,3500.01,3600,62.15,17.75,26.65,106.55,44.40,26.65,71.05
41,3600.01,3700,63.85,18.25,27.35,109.45,45.60,27.35,72.95
42,3700.01,3800,65.65,18.75,28.15,112.55,46.90,28.15,75.05
43,3800.01,3900,67.35,19.25,28.85,115.45,48.10,28.85,76.95
44,3900.01,4000,69.15,19.75,29.65,118.55,49.40,29.65,79.05
45,4000.01,4100,70.85,20.25,30.35,121.45,50.60,30.35,80.95
46,4100.01,4200,72.65,20.75,31.15,124.55,51.90,31.15,83.05
47,4200.01,4300,74.35,21.25,31.85,127.45,53.10,31.85,84.95
48,4300.01,4400,76.15,21.75,32.65,130.55,54.40,32.65,87.05
49,4400.01,4500,77.85,22.25,33.35,133.45,55.60,33.35,88.95
50,4500.01,4600,79.65,22.75,34.15,136.55,56.90,34.15,91.05
51,4600.01,4700,81.35,23.25,34.85,139.45,58.10,34.85,92.95
52,4700.01,4800,83.15,23.75,35.65,142.55,59.40,35.65,95.05
53,4800.01,4900,84.85,24.25,36.35,145.45,60.60,36.35,96.95
54,4900.01,5000,86.65,24.75,37.15,148.55,61.90,37.15,99.05
55,5000.01,5100,88.35,25.25,37.85,151.45,63.10,37.85,100.95
56,5100.01,5200,90.15,25.75,38.65,154.55,64.40,38.65,103.05
57,5200.01,5300,91.85,26.25,39.35,157.45,65.60,39.35,104.95
58,5300.01,5400,93.65,26.75,40.15,160.55,66.90,40.15,107.05
59,5400.01,5500,95.35,27.25,40.85,163.45,68.10,40.85,108.95
60,5500.01,5600,97.15,27.75,41.65,166.55,69.40,41.65,111.05
61,5600.01,5700,98.85,28.25,42.35,169.45,70.60,42.35,112.95
62,5700.01,5800,100.65,28.75,43.15,172.55,71.90,43.15,115.05
63,5800.01,5900,102.35,29.25,43.85,175.45,73.10,43.85,116.95
64,5900.01,6000,104.15,29.75,44.65,178.55,74.40,44.65,119.05
65,6000.01,,104.15,29.75,44.65,178.55,74.40,44.65,119.05
